id,sales_note,label
1823,custom size requested for container 560Z special handling needed,Custom Spec
1824,Stockout reported for Model X1.,Stocking Issue
1825,"Backorders causing delays, need resupply ASAP.",Stocking Issue
1826,Client wants another batch of 1000 units like last time.,Repeat Order
1827,demo units requested to evaluate updated models,New Product Demand
1828,"Out of stock reported, needs restocking.",Stocking Issue
1829,Need 300 more of the units ordered last month.,Repeat Order
1830,warehouse almost out of stock for Model Y23,Stocking Issue
1831,client needs same order as last month for product 450X,Repeat Order
1832,"Running low on supplies again, please arrange dispatch",Stocking Issue
1833,Customized dimension required for part 780Y.,Custom Spec
1834,Asked for customized sizing of the packaging.,Custom Spec
1835,inventory outage pls expedite shipping if possible ASAP,Urgent Need
1836,Rush request for product A45 due to customer escalation,Urgent Need
1837,Client exploring samples of 2024 line.,New Product Demand
1838,Rush request for product A45 due to customer escalation,Urgent Need
1839,Client exploring samples of 2024 line.,New Product Demand
1840,Askedfor customized sizing of the packaging.,Custom Spec
1841,"Warehouse backorder increasing, please resupply.",Stocking Issue
1842,demo units requested to evaluate updated models,New Product Demand
1843,interestshown in 2025X prototype by client,New Product Demand
1844,needs reinforced handles on boxes for safety reason,Custom Spec
1845,backorders increasing need quick replenishment,Stocking Issue
1846,First order placed for updated product variant.,New Product Demand
1847,Stockout reported for Model X1.,Stocking Issue
1848,Requestfor non-standard dimension for container.,Custom Spec
1849,backorders increasing need quick replenishment,Stocking Issue
1850,custom size requested for container 560Z special handling needed,Custom Spec
1851,Trial order to test new technology batch.,New Product Demand
1852,Client exploring samples of 2024 line.,New Product Demand
1853,interest shown in 2025X prototype by client,New Product Demand
1854,First order placed for updated product variant.,New Product Demand
1855,"Out of stock reported, needs restocking.",Stocking Issue
1856,Theyare requesting a repeat of the previous order.,Repeat Order
1857,demounits requested to evaluate updated models,New Product Demand
1858,demo units requested to evaluate updated models,New Product Demand
1859,backorders increasing need quick replenishment,Stocking Issue
1860,"Requesting rush shipping, shortage reported.",Urgent Need
1861,client needs same order as last month for product 450X,Repeat Order
1862,Trial order to test new technology batch.,New Product Demand
1863,Client wants another batch of 1000 units like last time.,Repeat Order
1864,Client exploring samples of 2024 line.,New Product Demand
1865,Trial order to test new technology batch.,New Product Demand
1866,Request to modify packaging dimensions before shipment,Custom Spec
1867,Specification change: needs reinforced packaging.,Custom Spec
1868,Need300 more of the units ordered last month.,Repeat Order
1869,"Delivery needed immediately, client facing outage.",Urgent Need
1870,Inventory outage pls expedite shipping if possible,Urgent Need
1871,They are requesting a repeat of the previous order.,Repeat Order
1872,inventory outage pls expedite shipping if possible,Urgent Need
1873,"Warehouse backorder increasing, please resupply.",Stocking Issue
1874,Need emergency stock replenishment by Friday. ASAP,Urgent Need
1875,"Inventory running low, client requests immediate resupply.",Stocking Issue
1876,Client exploring samples of 2024 line.,New Product Demand
1877,First order placed for updated product variant.,New Product Demand
1878,Repeat purchase request for Model 500Y,Repeat Order
1879,"Delivery needed immediately, client facing outage.",Urgent Need
1880,criticalshortage reported need shipment by next week,Urgent Need
1881,Request to modify packaging dimensions before shipment,Custom Spec
1882,trial samples needed for our new eco friendly line,New Product Demand
1883,Need urgent delivery due to market launch next week.,Urgent Need
1884,Rush request for product A45 due to customer escalation,Urgent Need
1885,client needs same order as last month for product 450X,Repeat Order
1886,Need 300 more of the units ordered last month.,Repeat Order
1887,Request for custom color matching on containers.,Custom Spec
1888,"running low on supplies again, please arrange dispatch",Stocking Issue
1889,Asked for customized sizing of the packaging.,Custom Spec
1890,Needs reinforced handles on boxes for safety reason,Custom Spec
1891,"Out of stock reported, needs restocking.",Stocking Issue
1892,"Requesting rush shipping, shortage reported.",Urgent Need
1893,First order placed for updated product variant.,New Product Demand
1894,First order placed for updated product variant.,New Product Demand
1895,interest shown in 2025X prototype by client,New Product Demand
1896,inventory outage pls expedite shipping if possible,Urgent Need
1897,warehouse almost out of stock for Model Y23,Stocking Issue
1898,demo units requested to evaluate updated models,New Product Demand
1899,Request for custom color matching on containers.,Custom Spec
1900,They are requesting a repeat of the previous order.,Repeat Order
1901,Client exploring samples of 2024 line.,New Product Demand
1902,"Inventory running low, client requests immediate resupply.",Stocking Issue
1903,"Out of stock reported, needs restocking.",Stocking Issue
1904,Need urgent delivery due to market launch next week.,Urgent Need
1905,Need300 more of the units ordered last month. ASAP,Repeat Order
1906,"running low on supplies again, please arrange dispatch",Stocking Issue
1907,"Out of stock reported, needs restocking.",Stocking Issue
1908,Request for non-standard dimension for container.,Custom Spec
1909,"Requestingrush shipping, shortage reported.",Urgent Need
1910,Backorders increasing need quick replenishment,Stocking Issue
1911,"Inventory running low, client requests immediate resupply.",Stocking Issue
1912,"Backorders causing delays, need resupply ASAP.",Stocking Issue
1913,"Warehouse backorder increasing, please resupply.",Stocking Issue
1914,Placing a repeat request for item series 100X. ASAP,Repeat Order
1915,"Out of stock reported, needs restocking.",Stocking Issue
1916,warehouse almost out of stock for Model Y23 ASAP,Stocking Issue
1917,Rush request for product A45 due to customer escalation,Urgent Need
1918,inventory outage pls expedite shipping if possible,Urgent Need
1919,Inventory outage pls expedite shipping if possible,Urgent Need
1920,"Warehouse backorder increasing, please resupply.",Stocking Issue
1921,demo units requested to evaluate updated models,New Product Demand
1922,Asked for customized sizing of the packaging.,Custom Spec
1923,Stockoutreported for Model X1.,Stocking Issue
1924,Client exploring samples of 2024 line.,New Product Demand
1925,First order placed for updated product variant.,New Product Demand
1926,First order placed for updated product variant.,New Product Demand
1927,"Out of stock reported, needs restocking.",Stocking Issue
1928,Need emergency stock replenishment by Friday.,Urgent Need
1929,"Delivery needed immediately, client facing outage.",Urgent Need
1930,Trial order to test new technology batch.,New Product Demand
1931,"Out of stock reported, needs restocking.",Stocking Issue
1932,backorders increasing need quick replenishment,Stocking Issue
1933,Exploring samples for a new product line.,New Product Demand
1934,Rush request for product A45 due to customer escalation,Urgent Need
1935,"Out of stock reported, needs restocking.",Stocking Issue
1936,"Out of stock reported, needs restocking.",Stocking Issue
1937,demo units requested to evaluate updated models,New Product Demand
1938,custom size requested for container 560Z special handling needed,Custom Spec
1939,"Backorders causing delays, need resupply ASAP.",Stocking Issue
1940,"Out of stock reported, needs restocking.",Stocking Issue
1941,Demo units requested to evaluate updated models,New Product Demand
1942,demo units requested to evaluate updated models,New Product Demand
1943,Rush request for product A45 due to customer escalation,Urgent Need
1944,Customized dimension required for part 780Y.,Custom Spec
1945,Requestfor custom color matching on containers.,Custom Spec
1946,"Requesting rush shipping, shortage reported.",Urgent Need
1947,Wants special coating on the exterior.,Custom Spec
1948,Wants special coating on the exterior. ASAP,Custom Spec
1949,Trial order to test new technology batch.,New Product Demand
1950,Firstorder placed for updated product variant.,New Product Demand
1951,First order placed for updated product variant.,New Product Demand
1952,Client exploring samples of 2024 line.,New Product Demand
1953,Asked for customized sizing of the packaging.,Custom Spec
